"Sens Factor =0.519dB, SERNO: 7188917"
"Auto-generated 90-degree calibration file"
173.040	0.4774
175.194	0.4789
177.375	0.4804
179.583	0.4817
181.819	0.4827
184.082	0.4834
186.374	0.4838
188.694	0.4839
191.043	0.4836
193.421	0.4830
195.829	0.4821
198.267	0.4808
200.735	0.4793
203.234	0.4776
205.764	0.4756
208.325	0.4735
210.919	0.4711
213.544	0.4686
216.203	0.4659
218.894	0.4630
221.619	0.4599
224.378	0.4567
227.171	0.4534
229.999	0.4499
232.862	0.4460
235.761	0.4418
238.696	0.4370
241.668	0.4318
244.676	0.4261
247.722	0.4199
250.806	0.4131
253.928	0.4057
257.089	0.3978
260.290	0.3894
263.530	0.3805
266.810	0.3712
270.132	0.3618
273.495	0.3523
276.899	0.3429
280.346	0.3336
283.836	0.3246
287.370	0.3158
290.947	0.3075
294.569	0.2995
298.236	0.2920
301.949	0.2849
305.708	0.2781
309.513	0.2714
313.366	0.2647
317.267	0.2580
321.217	0.2512
325.216	0.2443
329.264	0.2372
333.363	0.2300
337.513	0.2227
341.715	0.2154
345.969	0.2083
350.276	0.2013
354.636	0.1944
359.051	0.1877
363.521	0.1811
368.046	0.1746
372.628	0.1681
377.266	0.1615
381.963	0.1549
386.718	0.1483
391.532	0.1419
396.406	0.1359
401.341	0.1304
406.337	0.1256
411.395	0.1215
416.517	0.1180
421.702	0.1152
426.951	0.1129
432.266	0.1110
437.648	0.1095
443.096	0.1082
448.612	0.1069
454.196	0.1055
459.851	0.1040
465.575	0.1023
471.371	0.1004
477.239	0.0983
483.180	0.0959
489.195	0.0932
495.285	0.0901
501.450	0.0866
507.693	0.0826
514.013	0.0784
520.412	0.0741
526.890	0.0700
533.449	0.0662
540.090	0.0630
546.814	0.0602
553.621	0.0580
560.513	0.0561
567.490	0.0545
574.555	0.0531
581.707	0.0518
588.949	0.0505
596.281	0.0494
603.703	0.0484
611.219	0.0478
618.828	0.0474
626.531	0.0474
634.331	0.0479
642.228	0.0486
650.222	0.0494
658.317	0.0503
666.512	0.0511
674.809	0.0517
683.210	0.0519
691.715	0.0518
700.326	0.0512
709.044	0.0504
717.871	0.0493
726.807	0.0481
735.855	0.0469
745.016	0.0455
754.290	0.0441
763.680	0.0424
773.187	0.0402
782.812	0.0378
792.557	0.0353
802.424	0.0326
812.413	0.0297
822.526	0.0265
832.766	0.0233
843.133	0.0201
853.629	0.0168
864.255	0.0133
875.014	0.0100
885.907	0.0065
896.935	0.0028
908.101	-0.0012
919.406	-0.0057
930.851	-0.0103
942.439	-0.0152
954.171	-0.0199
966.049	-0.0247
978.076	-0.0295
990.251	-0.0342
1002.579	-0.0389
1015.060	-0.0437
1027.696	-0.0489
1040.489	-0.0543
1053.442	-0.0598
1066.556	-0.0656
1079.833	-0.0715
1093.276	-0.0775
1106.886	-0.0837
1120.665	-0.0898
1134.616	-0.0959
1148.741	-0.1018
1163.041	-0.1077
1177.519	-0.1136
1192.178	-0.1193
1207.019	-0.1251
1222.045	-0.1313
1237.258	-0.1375
1252.660	-0.1436
1268.254	-0.1498
1284.042	-0.1558
1300.027	-0.1616
1316.211	-0.1672
1332.596	-0.1727
1349.185	-0.1780
1365.981	-0.1836
1382.985	-0.1889
1400.202	-0.1938
1417.633	-0.1985
1435.280	-0.2029
1453.148	-0.2073
1471.238	-0.2115
1489.553	-0.2154
1508.096	-0.2189
1526.870	-0.2220
1545.877	-0.2245
1565.121	-0.2268
1584.605	-0.2290
1604.332	-0.2310
1624.303	-0.2329
1644.524	-0.2347
1664.996	-0.2364
1685.723	-0.2377
1706.708	-0.2387
1727.955	-0.2398
1749.466	-0.2406
1771.244	-0.2408
1793.294	-0.2406
1815.618	-0.2399
1838.221	-0.2383
1861.104	-0.2366
1884.272	-0.2343
1907.729	-0.2317
1931.478	-0.2294
1955.523	-0.2270
1979.866	-0.2243
2004.513	-0.2212
2029.467	-0.2176
2054.731	-0.2138
2080.310	-0.2096
2106.207	-0.2053
2132.427	-0.2006
2158.973	-0.1960
2185.849	-0.1912
2213.060	-0.1862
2240.610	-0.1809
2268.503	-0.1755
2296.743	-0.1697
2325.334	-0.1637
2354.282	-0.1577
2383.590	-0.1518
2413.262	-0.1460
2443.305	-0.1404
2473.721	-0.1352
2504.515	-0.1300
2535.693	-0.1249
2567.260	-0.1202
2599.219	-0.1158
2631.576	-0.1116
2664.335	-0.1077
2697.503	-0.1039
2731.084	-0.0999
2765.082	-0.0957
2799.504	-0.0915
2834.354	-0.0874
2869.638	-0.0832
2905.362	-0.0797
2941.530	-0.0763
2978.148	-0.0728
3015.222	-0.0694
3052.758	-0.0660
3090.761	-0.0628
3129.237	-0.0597
3168.192	-0.0567
3207.632	-0.0538
3247.563	-0.0513
3287.991	-0.0493
3328.923	-0.0473
3370.364	-0.0455
3412.320	-0.0437
3454.799	-0.0420
3497.807	-0.0406
3541.351	-0.0396
3585.436	-0.0392
3630.070	-0.0397
3675.260	-0.0410
3721.012	-0.0430
3767.334	-0.0454
3814.233	-0.0480
3861.715	-0.0512
3909.789	-0.0545
3958.460	-0.0580
4007.738	-0.0615
4057.630	-0.0651
4108.142	-0.0693
4159.283	-0.0735
4211.061	-0.0776
4263.483	-0.0815
4316.559	-0.0854
4370.294	-0.0889
4424.699	-0.0924
4479.781	-0.0961
4535.548	-0.1002
4592.010	-0.1053
4649.175	-0.1115
4707.051	-0.1186
4765.648	-0.1264
4824.975	-0.1348
4885.039	-0.1452
4945.852	-0.1564
5007.421	-0.1681
5069.757	-0.1806
5132.870	-0.1945
5196.768	-0.2108
5261.460	-0.2281
